TF;one_one;one_two;one_three;one_four;one_five;one_six;one_seven;one_eight;one_seven_big;one_six_big;one_five_big;one_four_big;two_four;two_five;two_six;two_seven;two_eight;two_nine;two_ten;one_one_one_two;one_two_one_three;one_two_one_one;one_three_one_four;one_four_one_five;one_five_one_six;one_six_one_seven;one_seven_one_eight;one_eight_one_seven_big;one_seven_one_six_big;one_six_one_five_big;one_five_one_four_big;one_four_two_four_big;two_four_two_five;two_five_two_six;two_six_two_seven;two_seven_two_eight;two_eight_two_nine;two_nine_two_ten;[omegaWheel;omegaWheel];[omegaCrank;omegaCrank];[t;t];[bigJump;bigJump];
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26508;0.26508;0.19491;0.19491;1.00000;1.00000;0.00000;1.00000;
2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.53016;0.53016;0.38982;0.38982;2.00000;2.00000;0.00000;1.00000;
3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.79524;0.79524;0.58473;0.58473;3.00000;3.00000;0.00000;1.00000;
4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.06032;1.06032;0.77964;0.77964;4.00000;4.00000;0.00000;1.00000;
5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.32540;1.32540;0.97455;0.97455;5.00000;5.00000;0.00000;1.00000;
6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.59048;1.59048;1.16946;1.16946;6.00000;6.00000;0.00000;1.00000;
7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.85556;1.85556;1.36437;1.36437;7.00000;7.00000;0.00000;1.00000;
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.12064;2.12064;1.55929;1.55929;8.00000;8.00000;0.00000;1.00000;
9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.38572;2.38572;1.75420;1.75420;9.00000;9.00000;0.00000;1.00000;
10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.65080;2.65080;1.94911;1.94911;10.00000;10.00000;0.00000;1.00000;
11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.91588;2.91588;2.14402;2.14402;11.00000;11.00000;0.00000;1.00000;
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.18096;3.18096;2.33893;2.33893;12.00000;12.00000;0.00000;1.00000;
13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.44604;3.44604;2.53384;2.53384;13.00000;13.00000;0.00000;1.00000;
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.71112;3.71112;2.72875;2.72875;14.00000;14.00000;0.00000;1.00000;
15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.97620;3.97620;2.92366;2.92366;15.00000;15.00000;0.00000;1.00000;
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.24128;4.24128;3.11857;3.11857;16.00000;16.00000;0.00000;1.00000;
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.50636;4.50636;3.31348;3.31348;17.00000;17.00000;0.00000;1.00000;
18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.77144;4.77144;3.50839;3.50839;18.00000;18.00000;0.00000;1.00000;
19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.03652;5.03652;3.70330;3.70330;19.00000;19.00000;0.00000;1.00000;
